strategy,type,entry_time,entry_price,exit_time,exit_price,sl,tp,pnl,return_pct,exit_reason
ORB (60m),BUY,2024-01-02 09:10:00.523,2075.145,2024-01-02 11:18:26.624,2072.7969908117075,2072.7969908117075,2079.8410183765845,-2.348009188292508,-0.02348009188292508,SL
ORB (60m),SELL,2024-01-03 00:00:00.096,2059.475,2024-01-03 00:00:00.096,2057.2242177620565,2060.6003911189714,2057.2242177620565,2.25078223794344,0.0225078223794344,TP
ORB (60m),SELL,2024-01-04 00:00:00.201,2042.865,2024-01-04 00:00:00.201,2040.0909727658488,2044.2520136170756,2040.0909727658488,2.7740272341511627,0.027740272341511628,TP
ORB (60m),SELL,2024-01-05 00:00:00.190,2044.128,2024-01-05 00:00:00.190,2041.1839489677557,2045.600025516122,2041.1839489677557,2.9440510322442606,0.029440510322442603,TP
ORB (60m),SELL,2024-01-08 09:20:00.170,2027.075,2024-01-08 09:20:00.170,2020.6147395951948,2030.3051302024028,2020.6147395951948,6.46026040480524,0.06460260404805239,TP
ORB (60m),BUY,2024-01-09 10:35:00.883,2038.675,2024-01-09 10:50:46.334,2036.146413643315,2036.146413643315,2043.7321727133697,-2.5285863566848548,-0.025285863566848546,SL
ORB (60m),SELL,2024-01-10 00:00:00.119,2030.674,2024-01-10 00:00:00.119,2027.5912785089395,2032.2153607455302,2027.5912785089395,3.0827214910605107,0.030827214910605107,TP
ORB (60m),BUY,2024-01-11 12:00:00.211,2034.595,2024-01-11 12:11:46.796,2033.225354231239,2033.225354231239,2037.3342915375222,-1.3696457687610746,-0.013696457687610745,SL
ORB (60m),BUY,2024-01-12 00:00:00.090,2035.435,2024-01-12 00:09:52.571,2032.7654178497392,2032.7654178497392,2040.7741643005215,-2.669582150260794,-0.026695821502607943,SL
ORB (60m),SELL,2024-01-15 09:50:00.196,2053.765,2024-01-15 09:50:00.196,2049.6575198617584,2055.818740069121,2049.6575198617584,4.107480138241499,0.04107480138241499,TP
ORB (60m),SELL,2024-01-16 09:10:00.079,2041.538,2024-01-16 09:10:00.079,2035.4471435454761,2044.583428227262,2035.4471435454761,6.090856454523873,0.06090856454523874,TP
ORB (60m),SELL,2024-01-17 00:00:00.094,2028.055,2024-01-17 00:00:00.094,2024.8599346951344,2029.652532652433,2024.8599346951344,3.195065304865693,0.031950653048656935,TP
ORB (60m),SELL,2024-01-18 00:00:00.188,2009.505,2024-01-18 00:00:00.188,2006.2616074303855,2011.1266962848074,2006.2616074303855,3.2433925696145707,0.032433925696145706,TP
ORB (60m),BUY,2024-01-19 00:00:00.137,2024.015,2024-01-19 01:19:07.776,2022.0729315777064,2022.0729315777064,2027.8991368445875,-1.942068422293687,-0.01942068422293687,SL
ORB (60m),BUY,2024-01-22 12:15:00.125,2026.522,2024-01-22 13:20:08.134,2024.1804657803427,2024.1804657803427,2031.2050684393141,-2.3415342196572055,-0.023415342196572056,SL
ORB (60m),SELL,2024-01-23 10:05:00.348,2027.475,2024-01-23 10:05:00.348,2021.7785138955567,2030.3232430522216,2021.7785138955567,5.696486104443238,0.05696486104443239,TP
ORB (60m),BUY,2024-01-24 09:10:00.225,2032.935,2024-01-24 10:26:06.759,2030.0475492752648,2030.0475492752648,2038.70990144947,-2.8874507247351175,-0.028874507247351175,SL
ORB (60m),SELL,2024-01-25 00:00:00.079,2016.305,2024-01-25 00:00:00.079,2012.9094940441908,2018.0027529779047,2012.9094940441908,3.3955059558093126,0.03395505955809312,TP
ORB (60m),BUY,2024-01-26 00:00:00.213,2020.955,2024-01-26 09:05:50.119,2019.1226991888848,2019.1226991888848,2024.6196016222302,-1.8323008111151466,-0.018323008111151465,SL
ORB (60m),SELL,2024-01-29 09:10:00.175,2030.745,2024-01-29 09:10:00.175,2026.312863502078,2032.9610682489608,2026.312863502078,4.432136497921874,0.04432136497921874,TP
ORB (60m),SELL,2024-01-30 09:30:00.173,2036.745,2024-01-30 09:30:00.173,2033.027277710911,2038.6038611445442,2033.027277710911,3.717722289088897,0.03717722289088897,TP
ORB (60m),SELL,2024-01-31 00:00:00.105,2036.365,2024-01-31 00:00:00.105,2034.8659322957926,2037.1145338521037,2034.8659322957926,1.4990677042073912,0.014990677042073911,TP
